,wave1_amp,wave1_phase,wave2_amp,wave2_phase,wave3_amp,wave3_phase,wave4_amp,wave4_phase,wave5_amp,wave5_phase,wave6_amp,wave6_phase,wave7_amp,wave7_phase,wave8_amp,wave8_phase,wave9_amp,wave9_phase,ZW3_index,env_amp_mean,env_extent,env_start_lon,env_end_lon,nenv_amp_mean,nenv_extent,nenv_start_lon,nenv_end_lon
1979-02-15,1.2745460271835327,325.5,0.5730108618736267,6.0,3.491185426712036,93.75,1.3012351989746094,75.75,1.2251629829406738,16.5,0.6294941902160645,19.5,0.18277475237846375,7.5,0.10498883575201035,44.25,0.13193270564079285,37.5,0.1642167717218399,4.174672603607178,79.5,36.75,115.5,1.164268970489502,54.0,50.25,103.5
1979-02-16,1.2753525972366333,325.5,0.6048939228057861,7.5,3.4854836463928223,93.75,1.1965523958206177,77.25,1.1173633337020874,18.0,0.627591609954834,21.0,0.21342293918132782,6.75,0.01779938116669655,39.0,0.10386461764574051,35.25,0.15315552055835724,4.148686408996582,78.0,41.25,118.5,1.154598355293274,54.0,51.0,104.25
1979-02-17,1.2994041442871094,324.75,0.6279199719429016,9.0,3.485443115234375,93.75,1.1081435680389404,78.75,0.9547346830368042,18.0,0.5149024724960327,21.75,0.2711130976676941,6.0,0.11485408991575241,37.5,0.0962081104516983,39.0,0.13539685308933258,4.10658073425293,63.75,52.5,115.5,1.1098456382751465,42.75,53.25,95.25
1979-02-18,1.3462122678756714,324.75,0.6310442686080933,9.75,3.4604527950286865,93.75,1.0429408550262451,80.25,0.7840700745582581,17.25,0.49477213621139526,19.5,0.3057992160320282,7.5,0.1144670844078064,38.25,0.055597156286239624,39.0,0.1441160887479782,4.043226718902588,54.0,56.25,109.5,1.0311545133590698,36.75,55.5,91.5
1979-02-19,1.3802486658096313,324.0,0.6250360012054443,9.0,3.423720598220825,93.75,0.9948471784591675,81.75,0.7305207848548889,14.25,0.5774793028831482,21.0,0.2824779748916626,7.5,0.11312443017959595,38.25,0.04816456511616707,0.0,0.11483713239431381,3.9610328674316406,51.0,54.0,104.25,0.929455578327179,34.5,57.75,91.5
1979-02-20,1.409761667251587,323.25,0.6251843571662903,9.0,3.3833999633789062,93.0,0.8638660907745361,82.5,0.7604514360427856,13.5,0.5132980942726135,22.5,0.2971140742301941,6.0,0.11408719420433044,37.5,0.01989409513771534,30.75,0.11341346055269241,3.8976504802703857,31.5,71.25,102.0,0.8853458762168884,34.5,57.0,90.75
1979-02-21,1.4458820819854736,321.75,0.6443191766738892,9.0,3.359499216079712,93.0,0.7511237263679504,81.75,0.762786865234375,12.75,0.3944077789783478,22.5,0.3437630832195282,6.75,0.14479666948318481,39.75,0.07039659470319748,35.25,0.12864917516708374,3.8449795246124268,16.5,75.75,91.5,0.8328096270561218,33.75,57.0,90.0
1979-02-22,1.4728971719741821,320.25,0.6719586253166199,9.75,3.3262851238250732,92.25,0.6460110545158386,81.0,0.7484900951385498,12.0,0.3839140832424164,21.75,0.34284940361976624,6.0,0.07746001332998276,39.75,0.07733652740716934,0.0,0.1529717594385147,3.790073871612549,0.0,0.0,0.0,0.7715467214584351,30.75,58.5,88.5
1979-02-23,1.4912078380584717,318.75,0.6885532736778259,10.5,3.3354392051696777,92.25,0.547946035861969,77.25,0.6817383766174316,11.25,0.37193459272384644,21.0,0.40963658690452576,6.75,0.11499562859535217,38.25,0.04743326082825661,36.75,0.18789725005626678,3.8186330795288086,0.0,0.0,0.0,0.780811607837677,26.25,62.25,87.75
1979-02-24,1.4945604801177979,317.25,0.694625735282898,9.75,3.3838322162628174,91.5,0.5691394805908203,74.25,0.6675270795822144,8.25,0.3780934512615204,21.0,0.35738205909729004,8.25,0.10372617095708847,36.75,0.07615992426872253,38.25,0.22127437591552734,3.8914992809295654,0.0,0.0,0.0,0.8491731286048889,24.0,60.75,84.0
1979-02-25,1.4822996854782104,316.5,0.6995573043823242,9.0,3.4611475467681885,90.75,0.579154372215271,72.0,0.8401587009429932,6.0,0.39288684725761414,21.0,0.31405624747276306,9.0,0.17695410549640656,36.75,0.08458440750837326,37.5,0.2743877172470093,3.983947515487671,0.0,0.0,0.0,0.8999939560890198,27.75,56.25,83.25
